Districts,Regions,Sex,Age Range,Count
YAU TSIM MONG DISTRICT,KOWLOON WEST,F,61-65,5665
YAU TSIM MONG DISTRICT,KOWLOON WEST,F,66-70,5160
YAU TSIM MONG DISTRICT,KOWLOON WEST,F,71,10554
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,18-20,1489
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,21-25,3599
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,26-30,4334
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,31-35,4523
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,36-40,5167
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,41-45,5818
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,46-50,6111
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,51-55,5746
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,56-60,5985
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,61-65,5395
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,66-70,5089
YAU TSIM MONG DISTRICT,KOWLOON WEST,M,71,9730
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,18-20,5508
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,21-25,14522
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,26-30,16291
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,31-35,13577
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,36-40,13668
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,41-45,13672
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,46-50,16310
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,51-55,19249
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,56-60,20847
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,61-65,16224
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,66-70,10416
YUEN LONG DISTRICT,NEW TERRITORIES WEST,F,71,14961
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,18-20,5664
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,21-25,14589
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,26-30,17257
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,31-35,14363
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,36-40,13882
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,41-45,12615
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,46-50,12844
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,51-55,15492
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,56-60,21025
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,61-65,18154
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,66-70,12012
YUEN LONG DISTRICT,NEW TERRITORIES WEST,M,71,16180
