X,Y,OBJECTID,GMID,Dataset,Facility_Name,Address,數據集,設施名稱,地址,District,地區,Library_Type,圖書館種類,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Latitude,Longitude,Building_CSUID,Northing,Easting
113.99903,22.46268,11,ZeKT5gIBpn,Libraries,Tin Yuet Estate(Mobile Library 10),"Adjacent to Yuet Tai House, Tin Yuet Estate, Tin Shui Wai, N.T.",圖書館,天悅邨(流動圖書館十),天水圍天悅邨悅泰樓側,YUEN LONG,元朗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/yuen-long/mobile10/adjacent-to-yuet-tai-housetin.html,http://www.hkpl.gov.hk/tc/locations/yuen-long/mobile10/adjacent-to-yuet-tai-housetin.html,22.46268,113.99903,,835921,817964
114.110640000000103,22.2248,12,35gsWE8w1f,Libraries,The Provisional North Lamma Public Library Service Stop,"TGLA No. TIS 785, Yung Shue Wan Plaza Road, Lamma Island, N.T.",圖書館,臨時南丫島北段公共圖書館服務站,新界南丫島榕樹灣廣場路TGLA TIS 785 地段,ISLANDS,離島,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/islands/library/north-lamma.html,http://www.hkpl.gov.hk/tc/locations/islands/library/north-lamma.html,22.2248,114.11064,,809570,829439
114.27488,22.31662,13,OSW2C1Yvc4,Libraries,Sai Kung Mang Kung Uk Road(Mobile Library 5),"Basketball Field at Mang Kung Uk Road, Sai Kung (Outside the ESF Abacus International Kindergarten), N.T.",圖書館,西貢孟公屋路(流動圖書館五),新界西貢孟公屋路籃球場(英基雅柏國際幼稚園對出),SAI KUNG,西貢,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/sai-kung/mobile5/mang-kung-uk.html,https://www.hkpl.gov.hk/tc/locations/sai-kung/mobile5/mang-kung-uk.html,22.31662,114.27488,,819739,846366
114.25602,22.43075,14,mO1zdLtzfV,Libraries,Nai Chung(Mobile Library 5),"Car Park adjacent to Nai Chung Bus Terminus, Sai Sha Road, Sai Kung North, N.T.",圖書館,泥涌(流動圖書館五),新界西貢北西沙路泥涌巴士站側停車場,TAI PO,大埔,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tai-po/mobile5/adjacent-to-nai-chung-bus-terminus.html,http://www.hkpl.gov.hk/tc/locations/tai-po/mobile5/adjacent-to-nai-chung-bus-terminus.html,22.43075,114.25602,,832377,844416
114.14407,22.48666,15,xhWXLEw0Ae,Libraries,Fanling South Public Library,"Shop Nos. G15 & G16, Dawning Views Shopping Plaza, 23 Yat Ming Road, Fanling, N.T.",圖書館,粉嶺南公共圖書館,"新界粉嶺一鳴路23號, 牽晴間購物廣場地下G15及G16號舖位",NORTH,北區,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/north/library/fanling-south.html,https://www.hkpl.gov.hk/tc/locations/north/library/fanling-south.html,22.48666,114.14407,,838566,832892
114.149900000000116,22.28658,16,8gQ4uvEs8W,Libraries,Sheung Wan Cultural Square(Mobile Library 9),"Lay-by near Sheung Wan Cultural Square (Bonham Strand close to the section of Wing Lok Street), Hong Kong",圖書館,上環文化廣場(流動圖書館九),香港上環文化廣場(文咸東街近永樂街路段)路旁停車處,CENTRAL AND WESTERN,中西區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/central-and-western/mobile9/lay-by-near-sheung-wan.html,https://www.hkpl.gov.hk/tc/locations/central-and-western/mobile9/lay-by-near-sheung-wan.html,22.28658,114.1499,,816410,833488
113.99894,22.45524,17,Yak3IkWjVs,Libraries,Tin Shui Estate(Mobile Library 10),"Adjacent to Tin Shui Community Centre, Tin Shui Estate, Tin Shui Wai, Yuen Long, N.T.",圖書館,天瑞邨(流動圖書館十),新界元朗天水圍天瑞邨天瑞社區中心側,YUEN LONG,元朗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/yuen-long/mobile10/adjacent-to-tin-shui-community-centre.html,https://www.hkpl.gov.hk/tc/locations/yuen-long/mobile10/adjacent-to-tin-shui-community-centre.html,22.45524,113.99894,,835097,817953
114.23894,22.27588,18,1DpRL3gtbR,Libraries,Heng Fa Chuen(Mobile Library 9),"Adjacent to Block 6, Shing Man Lane, Heng Fa Chuen, Chai Wan, Hong Kong",圖書館,杏花邨(流動圖書館九),香港柴灣杏花邨盛民里第六座側,EASTERN,東區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/eastern/mobile9/adjacent-to-block-6-shing-man.html,http://www.hkpl.gov.hk/tc/locations/eastern/mobile9/adjacent-to-block-6-shing-man.html,22.27588,114.23894,,815226,842665
114.00607,22.45917,19,qbvGNSdwzl,Libraries,Kingswood Country Club(Mobile Library 3),"Kingswood Country Club Car Park, Kingswood Villas, Tin Shui Wai",圖書館,嘉湖鄉村俱樂部(流動圖書館三),新界天水圍嘉湖山莊嘉湖鄉村俱樂部停車場,YUEN LONG,元朗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/yuen-long/mobile3/kingswood-country-club-parking.html,https://www.hkpl.gov.hk/tc/locations/yuen-long/mobile3/kingswood-country-club-parking.html,22.45917,114.00607,,835531,818688
114.03259,22.44339,20,JBgKZRAvyA,Libraries,Fung Cheung Road(Mobile Library 10),"Fung Cheung Road PLB (Scheduled Service) Terminus, Yuen Long, N.T.",圖書館,鳳翔路(流動圖書館十),新界元朗鳳翔路公共小型巴士(專線服務)總站,YUEN LONG,元朗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/yuen-long/mobile10/fung-cheung-road-plb-terminus.html,https://www.hkpl.gov.hk/tc/locations/yuen-long/mobile10/fung-cheung-road-plb-terminus.html,22.44339,114.03259,,833781,821416
